time_E Nt_E LCL_E median_E UCL_E	time_W Nt_W LCL_W median_W UCL_W
115000 24300913.7646898 17102622.8875195 28593669.6660399 52739786.1715749	115000 113379944.809199 47276825.7953498 72980683.0404958 201129345.362921
116000 24624266.116443 17392751.4464972 28679016.4623979 52279627.7325544	116000 112742702.857341 46246674.0479973 73055197.0778432 207697788.163762
117000 24975824.9014529 17712783.1061747 28783685.7703506 51823823.2690084	117000 112103364.600429 45283437.0803544 73183294.5192156 214481316.701151
118000 25357652.7434557 18056237.0230461 28908425.2565181 51372408.4323372	118000 111462122.320071 44381562.4477253 73363762.9701938 221480634.806104
119000 25772083.4569517 18253946.5462287 29054105.4914325 50925418.9377757	119000 110819164.883724 43536119.9765938 73595567.4908631 228695454.2745
120000 26221762.6140741 18473062.9007041 29221734.0203494 50482890.3339252	120000 110174677.688564 42742717.8309466 73877833.4255967 236124403.898631
121000 26709696.037219 18715402.3485341 29326920.6387345 50129493.2528567	121000 109528842.611459 41997431.8819392 74209830.9438065 243764952.106894
122000 27239308.0429501 18983102.1111173 29111245.825598 49838710.0330715	122000 108881837.964864 41296745.983308 74590960.9975951 251613350.481438
123000 27814511.7640433 19248266.0904606 28904252.8833177 49557468.1927541	123000 108233838.458489 40637501.2373811 75020742.4394244 259664606.98009
124000 28439794.5377543 19256361.2866619 28705721.0699499 49286344.6930918	124000 107585015.16656 40016852.7123012 75498800.0730989 267912499.365236
125000 29120322.2282641 19284140.1576978 28515445.4804653 49025965.3964825	125000 106935535.500511 39432232.3657787 75067816.6076309 276349641.09296
126000 29862067.5332544 19106386.5906183 28333236.3464873 48777012.2696624	126000 106285563.186914 38881317.1633372 74090498.1054257 284967613.677759
127000 30671968.928598 18735038.2829624 28158918.4067365 48540233.7625364	127000 105635258.250491 38362001.563813 73151121.8186129 293757181.241514
128000 31558129.1056153 18386609.3604621 27992482.3406157 48326888.1204621	128000 104984777.001993 37872373.6925259 72247789.6596164 302708604.486498
129000 32530064.8093505 18060401.0770036 27890632.7184836 48146995.336145	129000 104334272.030796 37410694.6411787 71378733.4309767 311812072.600622
130000 33599024.2783408 17755826.0843771 28401984.8317631 48000500.3594902	130000 103683892.202 36975380.4293733 70542304.058544 321058272.512634
131000 34778394.6003603 17472408.5030292 28965504.9830908 47887551.4663076	131000 103033782.657859 36564986.2404373 69736961.8838945 330439115.389758
132000 36084230.1366028 17209785.6109278 29586277.8895306 47808512.1400779	132000 102384084.823353 36178192.6077229 68961267.8965862 339948640.275135
133000 37535946.1474511 16967711.3306279 30273963.4511549 47763977.4767684	133000 101734936.41572 35813793.279562 68213875.8020164 352217078.337879
134000 39157241.1525629 16746061.7628096 30956516.4958412 47754795.9110166	134000 101086471.457744 35470684.533883 67493524.8336641 370579120.956235
135000 40977341.1083828 16547588.8921817 30822108.726633 47782097.3260619	135000 100438820.294651 35147855.7488996 66799033.2297199 390423263.710793
136000 43005197.8881284 16376741.0608315 30764155.2852659 48113498.4271933	136000 99792109.6143884 34844381.0656691 66129292.3037957 411931940.602662
137000 45192208.0454913 16231065.0452697 30773661.7407658 49111569.0692114	137000 99146462.471141 34559412.0028134 65483261.0477972 435317519.144304
138000 47550301.4163458 16108625.0801013 30872212.9815888 50370099.6633958	138000 98501998.3118918 34292170.9041844 64859961.2123232 460827782.645094
139000 50097789.0579178 16007759.21537 31016818.4423637 51818439.6173824	139000 97858833.0058525 34041945.1174664 64258472.8162899 488752442.009208
140000 52855497.5553674 15927038.4076309 31164642.3798381 53298493.4311625	140000 97217078.8765966 33808081.8162068 63677930.0429943 519430871.677047
141000 55847195.139564 15865233.0550202 31315766.0718957 54808445.0463524	141000 96576844.7367238 33589983.3900379 63117517.4846554 553261296.244044
142000 59100104.4013513 15751275.7442998 31470273.6195034 56693775.332625	142000 95938235.9248927 33387103.3382604 62576466.7016884 590711684.446325
143000 62645522.300056 15562780.6970798 31628252.0670866 59516274.3043777	143000 95301354.3450596 33198942.6108345 62054053.0666673 632332628.210318
144000 66519573.8961087 15388769.9684525 31789791.5290981 63261164.7848951	144000 94666298.5077673 33025046.3484027 61549592.8661814 678772482.400473
145000 70764133.7880091 15228338.8839002 31954985.3231529 67393599.8835468	145000 94033163.5733308 32865000.9794804 61062440.6366536 730794990.682405
146000 75427959.257093 15080683.469594 32123930.1101294 71972526.761631	146000 93402041.3967713 32718431.6385501 60591986.7127095 791536047.456766
147000 80568092.5397679 14945088.5817703 32296726.0416638 77068847.7991742	147000 92773020.5743545 32584999.8736448 60137654.9689156 864164274.01879
148000 86251607.7623264 14820917.8253322 32473476.9154956 82768436.2069328	148000 92146186.4915938 32464401.6162141 59698900.7376791 946289203.882858
149000 92557802.7622629 14707604.9660091 32654290.3391552 89176063.0766652	149000 91521621.3725822 32356365.3897351 59275208.8878454 1039403511.52773
150000 99580970.0012586 14604646.5964364 32839277.9025181 96420560.0018997	150000 90899404.3305245 32260650.7367539 58866092.0500865 1145226158.98046
151000 107433928.040956 14511595.8610172 33161868.6450876 104661675.380359	151000 90279611.4193413 32177046.8468782 58471088.9765515 1265709158.27475
152000 116252561.5398 14428057.0799961 33547123.4519703 114099280.072043	152000 89662315.6862258 32105371.3707612 58169084.1831382 1403019551.93888
153000 126201712.385742 14353681.1417803 33946488.2642532 124985873.438851	153000 89047587.2250362 32045469.407367 58041183.5837655 1559475303.02999
154000 137482901.090283 14288161.5557073 34360549.9253489 137668968.072464	154000 88435493.2304114 31997212.653835 57924922.3947896 1737401247.2289
155000 150344557.191795 14231231.0763253 34866069.6240072 152610046.862185	155000 87826098.0525035 31960498.709104 57820195.4452173 1938854557.22451
156000 165095733.72929 14182658.8257303 35558882.5207647 170289869.462594	156000 87219463.2522246 31935250.5241493 57726914.2839231 2165151005.8603
157000 182124727.862117 14142247.8532935 36273182.6096499 191428652.166159	157000 86615647.6569095 31921415.993262 57645006.9181811 2416113455.4445
158000 201924716.016103 14109833.0827534 37009818.8605967 216994272.041398	158000 86014707.4163008 31918967.682279 57574417.6149491 2688986082.78092
159000 225129585.958527 14085279.6055934 37769675.9957719 248308109.701342	159000 85416696.0587686 31927902.6910907 57515106.7636713 2977055442.53273
160000 252564864.439249 14068481.2872036 38553675.5633304 287205068.683125	160000 84821664.5476785 31948242.6491254 57467050.7998057 3268247392.74097
161000 285321445.016489 14059359.6588331 39362776.9439721 336279637.119443	161000 84229661.3378292 31980033.8438623 57430242.1887225 3544339499.75167
162000 324864525.52492 14057863.0739971 40197978.2673644 399269960.471893	162000 83640732.4318832 32023347.4837808 57404689.4700451 3781789564.73077
163000 373198276.513403 14063966.1129969 41060317.2114439 481663227.629482	163000 83054921.4367176 32078280.0985329 57390417.3629442 3955105803.0445
164000 433121188.658704 14077669.2237073 41950871.6529786 591647675.844943	164000 82472269.6196295 32144954.0805549 57387466.9333314 4042665637.06073
165000 508633609.257107 14098998.5909153 42870760.1324866 741563521.303885	165000 81892815.9643302 32223518.3738304 57395895.8243547 4033069407.6133
166000 605609825.009145 14128006.2303761 43586386.9196978 949881162.599039	166000 81316597.2266685 32314149.3171162 57450774.3093431 3928879824.81243
167000 732948759.171788 14164770.3075 44016694.0544839 1242905879.07608	167000 80743647.9900277 32417051.6506647 57585546.1513245 3745574339.54798
168000 904631218.382344 14209395.6842943 44464680.2764264 1651993844.2097	168000 80174000.7203427 32532459.6973549 57732632.9950659 3506377891.88806
169000 1143587625.40931 14262014.7019588 44930947.6976487 2191782183.3498	169000 79607685.8206881 32660638.7312203 57892222.408627 3235879785.82535
170000 1489410405.66622 14322788.2104784 45416143.6115476 2791274944.02166	170000 79044731.6853925 32801886.548668 58064521.375375 2955219450.54583
171000 2014831452.07043 14391906.8607689 45920963.7681898 3205263890.40648	171000 78485164.7536352 32956535.2602735 58249757.0604508 2679905178.00869
172000 2863856330.65516 14469592.679537 46446156.0175995 3147273586.22499	172000 77929009.5624865 33124953.3239596 58448177.6667004 2419781248.06526
173000 4348073649.3861 14556100.9521451 46992524.3652786 2663319974.93723	173000 77376288.7993561 33307547.8436957 58660053.3865912 2180111175.58004
174000 7207645482.12904 14651722.4445681 47560933.491114 2062584982.7116	174000 76827023.3538147 33504767.1616531 58885677.4575081 1962934885.16292
175000 13254951959.765 14756786.0021868 48152313.7908069 1550082283.17911	175000 76281232.3687601 33717103.776125 59125367.3287883 1768255007.43824
176000 24942182283.1836 14871661.570877 48767667.0083329 1169039398.89787	176000 75738933.2908982 33945097.6225593 59379465.949937 1594913182.19768
177000 30591120608.71 14996763.6949055 49408072.5390032 897303243.326849	177000 75200141.9205153 34189339.7609031 59648343.190676 1441173881.07464
178000 18785337582.0431 15132555.5568298 50074694.4957835 703795373.801404	178000 74664872.4605177 34450476.5192607 59932397.4048342 1305085387.22562
179000 9830515031.63254 15279553.6373304 50768789.6470798 563980867.62101	179000 74133137.5647196 34729214.1518236 60232057.1516241 1184688815.95792
180000 5612856126.24681 15438333.0881587 51491716.3527415 460926874.453335	180000 73604948.3853594 35026324.0783532 60547783.0895791 1078130322.4707
181000 3539221152.68764 15609533.9297835 52244944.6472299 383364128.776754	181000 73080314.6198306 35342648.7834841 60880070.0603879 983714480.352504
182000 2410330019.4131 15793868.2076352 53030067.6455788 323805745.270902	182000 72559244.5566115 35667578.3437874 61229449.3820972 899923300.636054
183000 1738643209.17049 15992128.2680699 54202927.3209816 277218026.752773	183000 72041745.1203835 35984800.6125695 61596491.3736943 825416036.99566
184000 1309948820.95235 16205196.3485606 55601609.5498872 240558452.66817	184000 71527821.9163262 36183886.9418462 61981808.1359875 759018906.85224
185000 1020863017.88992 16434055.7177973 57124960.3962357 211606016.84515	185000 71017479.273583 36348741.9360455 62386056.6170302 699710114.452991
186000 817203518.162094 16679803.6524409 58789869.7041006 188106565.674885	186000 70510720.2878886 36490051.4360632 62809941.9941576 646603277.541199
187000 668558824.305966 16851652.8145669 60616663.9930769 168825713.469232	187000 70007546.8633545 36641854.818005 63254221.4091005 598930981.334604
188000 556863787.253801 16986218.7244503 61618312.3126069 152855379.254002	188000 69507959.7534091 36805577.8771583 63719708.0977238 556029360.381099
189000 470868504.911007 17131914.2181211 61368392.8034957 139516951.089871	189000 69011958.6008897 36981559.8569917 64207275.9618067 517324123.252338
190000 403283320.586995 17289597.8604941 61158403.97881 128472507.422523	190000 68519541.9772846 37170171.184161 64717864.637103 482318154.400071
191000 349222399.429201 17460237.5015541 61875515.1011764 119782373.183442	191000 68030707.4211286 37371815.7543751 65252485.1198442 450580671.035955
192000 305314567.819152 17644926.9197382 63090614.6695951 112863174.045164	192000 67545451.47555 37586933.4948417 65812226.0231003 421737831.206733
193000 269174405.55892 17844905.6954595 63430385.7001761 108786096.080491	193000 67063769.7249739 37816003.2388192 66398260.5452294 395464652.019787
194000 239076376.549684 18061583.0623939 63149932.2277518 109858661.906464	194000 66585656.8309849 38059545.9536291 67011854.2453381 371478085.613867
195000 213747773.539836 18296566.6894647 62901874.0025506 112520393.020032	195000 66111106.5673533 38318128.370399 67654373.7356082 349531103.560088
196000 192233529.161606 18551697.6173839 62689136.5330959 116888430.27758	196000 65640111.854231 38592367.0720365 68327296.4179688 329407650.986404
197000 173805789.67908 18829092.9342848 62514393.7767955 121463462.635871	197000 65172664.7915226 38882933.1057739 69032221.4134593 310918345.69535
198000 157902108.297883 19131198.2597379 62381455.283886 126258094.963438	198000 64708756.6914391 39190557.19844 69770881.8574192 293896812.470613
199000 144082370.891572 19460852.7645874 62324382.2844545 133380209.740872	199000 64248378.110242 39516035.6668661 70545158.763188 278196557.292779
2e+05 131998244.678995 19821370.3573667 62339885.4455054 142750649.050865	2e+05 63791518.8791859 39860237.1330912 71357096.6923476 263688299.611838
201000 121371160.617171 20216641.9224025 61693053.3037348 153057035.789061	201000 63338168.1346683 40224110.1750513 72208921.5119815 250257692.848762
202000 111976213.312455 20651248.6157455 59902045.8525639 164402653.974035	202000 62888314.3475964 40608692.0691349 73103060.570581 237803373.844484
203000 103630230.182559 21123806.3645482 59214336.0497835 176897523.946119	203000 62441945.3519808 41013151.6471075 72534749.1159529 226235291.092023
204000 96194437.0551188 21621379.0483075 59113530.653647 190672972.565238	204000 61999048.3727663 41415584.4012876 71554234.197087 215473269.391395
