time Nt LCL median UCL
104000 22206659.3382209 15349373.6054254 30923427.9128148 58408562.7163307
105000 22303983.3620777 15422086.3491842 30850260.3390839 57591567.999861
106000 22417863.8206622 15509693.6664669 30792055.9794603 57071721.3659368
107000 22548796.62165 15612755.1257145 30748695.1127071 56573797.8949731
108000 22697361.2272369 15731937.4229143 30720106.9916174 56079971.8082696
109000 22864227.2700674 15868025.6815736 30706269.5270572 55590259.6579193
110000 23050162.3950826 16021937.1915215 30707209.4002578 55104682.5323232
111000 23256041.5049399 16194738.0598062 30031667.1295693 54623265.2702763
112000 23482857.6257187 16387663.3742841 29361996.4116352 54146035.7656346
113000 23731734.6571574 16602141.6444827 28906064.2648896 53673024.3533252
114000 24003942.3299562 16839824.4975888 28527008.8247495 53204263.2685049
115000 24300913.7646898 17102622.8875195 28593669.6660399 52739786.1715749
116000 24624266.116443 17392751.4464972 28679016.4623979 52279627.7325544
117000 24975824.9014529 17712783.1061747 28783685.7703506 51823823.2690084
118000 25357652.7434557 18056237.0230461 28908425.2565181 51372408.4323372
119000 25772083.4569517 18253946.5462287 29054105.4914325 50925418.9377757
120000 26221762.6140741 18473062.9007041 29221734.0203494 50482890.3339252
121000 26709696.037219 18715402.3485341 29326920.6387345 50129493.2528567
122000 27239308.0429501 18983102.1111173 29111245.825598 49838710.0330715
123000 27814511.7640433 19248266.0904606 28904252.8833177 49557468.1927541
124000 28439794.5377543 19256361.2866619 28705721.0699499 49286344.6930918
125000 29120322.2282641 19284140.1576978 28515445.4804653 49025965.3964825
126000 29862067.5332544 19106386.5906183 28333236.3464873 48777012.2696624
127000 30671968.928598 18735038.2829624 28158918.4067365 48540233.7625364
128000 31558129.1056153 18386609.3604621 27992482.3406157 48326888.1204621
129000 32530064.8093505 18060401.0770036 27890632.7184836 48146995.336145
130000 33599024.2783408 17755826.0843771 28401984.8317631 48000500.3594902
131000 34778394.6003603 17472408.5030292 28965504.9830908 47887551.4663076
132000 36084230.1366028 17209785.6109278 29586277.8895306 47808512.1400779
133000 37535946.1474511 16967711.3306279 30273963.4511549 47763977.4767684
134000 39157241.1525629 16746061.7628096 30956516.4958412 47754795.9110166
135000 40977341.1083828 16547588.8921817 30822108.726633 47782097.3260619
136000 43005197.8881284 16376741.0608315 30764155.2852659 48113498.4271933
137000 45192208.0454913 16231065.0452697 30773661.7407658 49111569.0692114
138000 47550301.4163458 16108625.0801013 30872212.9815888 50370099.6633958
139000 50097789.0579178 16007759.21537 31016818.4423637 51818439.6173824
140000 52855497.5553674 15927038.4076309 31164642.3798381 53298493.4311625
141000 55847195.139564 15865233.0550202 31315766.0718957 54808445.0463524
142000 59100104.4013513 15751275.7442998 31470273.6195034 56693775.332625
143000 62645522.300056 15562780.6970798 31628252.0670866 59516274.3043777
144000 66519573.8961087 15388769.9684525 31789791.5290981 63261164.7848951
145000 70764133.7880091 15228338.8839002 31954985.3231529 67393599.8835468
146000 75427959.257093 15080683.469594 32123930.1101294 71972526.761631
147000 80568092.5397679 14945088.5817703 32296726.0416638 77068847.7991742
148000 86251607.7623264 14820917.8253322 32473476.9154956 82768436.2069328
149000 92557802.7622629 14707604.9660091 32654290.3391552 89176063.0766652
150000 99580970.0012586 14604646.5964364 32839277.9025181 96420560.0018997
151000 107433928.040956 14511595.8610172 33161868.6450876 104661675.380359
152000 116252561.5398 14428057.0799961 33547123.4519703 114099280.072043
153000 126201712.385742 14353681.1417803 33946488.2642532 124985873.438851
154000 137482901.090283 14288161.5557073 34360549.9253489 137668968.072464
155000 150344557.191795 14231231.0763253 34866069.6240072 152610046.862185
156000 165095733.72929 14182658.8257303 35558882.5207647 170289869.462594
157000 182124727.862117 14142247.8532935 36273182.6096499 191428652.166159
158000 201924716.016103 14109833.0827534 37009818.8605967 216994272.041398
159000 225129585.958527 14085279.6055934 37769675.9957719 248308109.701342
160000 252564864.439249 14068481.2872036 38553675.5633304 287205068.683125
161000 285321445.016489 14059359.6588331 39362776.9439721 336279637.119443
162000 324864525.52492 14057863.0739971 40197978.2673644 399269960.471893
163000 373198276.513403 14063966.1129969 41060317.2114439 481663227.629482
164000 433121188.658704 14077669.2237073 41950871.6529786 591647675.844943
165000 508633609.257107 14098998.5909153 42870760.1324866 741563521.303885
166000 605609825.009145 14128006.2303761 43586386.9196978 949881162.599039
167000 732948759.171788 14164770.3075 44016694.0544839 1242905879.07608
168000 904631218.382344 14209395.6842943 44464680.2764264 1651993844.2097
169000 1143587625.40931 14262014.7019588 44930947.6976487 2191782183.3498
170000 1489410405.66622 14322788.2104784 45416143.6115476 2791274944.02166
171000 2014831452.07043 14391906.8607689 45920963.7681898 3205263890.40648
172000 2863856330.65516 14469592.679537 46446156.0175995 3147273586.22499
173000 4348073649.3861 14556100.9521451 46992524.3652786 2663319974.93723
174000 7207645482.12904 14651722.4445681 47560933.491114 2062584982.7116
175000 13254951959.765 14756786.0021868 48152313.7908069 1550082283.17911
176000 24942182283.1836 14871661.570877 48767667.0083329 1169039398.89787
177000 30591120608.71 14996763.6949055 49408072.5390032 897303243.326849
178000 18785337582.0431 15132555.5568298 50074694.4957835 703795373.801404
179000 9830515031.63254 15279553.6373304 50768789.6470798 563980867.62101
180000 5612856126.24681 15438333.0881587 51491716.3527415 460926874.453335
181000 3539221152.68764 15609533.9297835 52244944.6472299 383364128.776754
182000 2410330019.4131 15793868.2076352 53030067.6455788 323805745.270902
183000 1738643209.17049 15992128.2680699 54202927.3209816 277218026.752773
184000 1309948820.95235 16205196.3485606 55601609.5498872 240558452.66817
185000 1020863017.88992 16434055.7177973 57124960.3962357 211606016.84515
186000 817203518.162094 16679803.6524409 58789869.7041006 188106565.674885
187000 668558824.305966 16851652.8145669 60616663.9930769 168825713.469232
188000 556863787.253801 16986218.7244503 61618312.3126069 152855379.254002
189000 470868504.911007 17131914.2181211 61368392.8034957 139516951.089871
190000 403283320.586995 17289597.8604941 61158403.97881 128472507.422523
191000 349222399.429201 17460237.5015541 61875515.1011764 119782373.183442
192000 305314567.819152 17644926.9197382 63090614.6695951 112863174.045164
193000 269174405.55892 17844905.6954595 63430385.7001761 108786096.080491
194000 239076376.549684 18061583.0623939 63149932.2277518 109858661.906464
195000 213747773.539836 18296566.6894647 62901874.0025506 112520393.020032
196000 192233529.161606 18551697.6173839 62689136.5330959 116888430.27758
197000 173805789.67908 18829092.9342848 62514393.7767955 121463462.635871
198000 157902108.297883 19131198.2597379 62381455.283886 126258094.963438
199000 144082370.891572 19460852.7645874 62324382.2844545 133380209.740872
2e+05 131998244.678995 19821370.3573667 62339885.4455054 142750649.050865
